Branch,URL
"ABBASIYA-2",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=ABBASIYA-2
"ABBASIYA-3",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=ABBASIYA-3
"ABBASIYA-4",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=ABBASIYA-4
"ABUHALIFA",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=ABUHALIFA
"AIRPORT",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=AIRPORT
"AMGHARA",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=AMGHARA
"AVENUES",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=AVENUES
"FAHAHEEL",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FAHAHEEL
"FAHAHEEL GRAND",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FAHAHEEL%20GRAND
"FAHAHEEL SOUK",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FAHAHEEL%20SOUK
"FAHAHEEL-2",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FAHAHEEL-2
"FARWANIYA",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FARWANIYA
"FARWANIYA MAGHATEER",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FARWANIYA%20MAGHATEER
"FARWANIYA-3",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FARWANIYA-3
"FARWANIYA-4",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FARWANIYA-4
"FARWANIYA-6",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FARWANIYA-6
"FARWANIYA-7",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FARWANIYA-7
"FINTAS",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=FINTAS
"HASAWI GRAND HYPER",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=HASAWI%20GRAND%20HYPER
"HASSAWI",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=HASSAWI
"HASSAWI-2",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=HASSAWI-2
"IBK HAWALLY",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=IBK%20HAWALLY
"JAHRA-2",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=JAHRA-2
"JAHRA-3",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=JAHRA-3
"JAZEERA AIRSIDE",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=JAZEERA%20AIRSIDE
"KHAITHAN",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=KHAITHAN
"KHAITHAN-2",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=KHAITHAN-2
"KHAITHAN-3",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=KHAITHAN-3
"KHAITHAN-4",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=KHAITHAN-4
"MAHBOULA",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MAHBOULA
"MAHBOULA-2",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MAHBOULA-2
"MAHBOULA-3",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MAHBOULA-3
"MAHBOULA-4",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MAHBOULA-4
"MAHBOULA-5",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MAHBOULA-5
"MAHBOULA-6",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MAHBOULA-6
"MAHBOULA-7",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MAHBOULA-7
"MAHBOULA-8",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MAHBOULA-8
"MANGAF",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MANGAF
"MANGAF-2",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MANGAF-2
"MANGAF-3",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MANGAF-3
"METRO FARWANIYA",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=METRO%20FARWANIYA
"MUBARAKIYA",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MUBARAKIYA
"MURGAB (H)",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MURGAB%20%28H%29
"MURGAB ROUNDABOUT",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MURGAB%20ROUNDABOUT
"MUTHAIDA",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=MUTHAIDA
"RIGGAE",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=RIGGAE
"SALMIYA",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=SALMIYA
"SALMIYA-4",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=SALMIYA-4
"SALMIYA-5",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=SALMIYA-5
"SALMIYA-6",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=SALMIYA-6
"SHADADIYA-1",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=SHADADIYA-1
"SHUWAIKH",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=SHUWAIKH
"WATIYA",https://sal19112.github.io/BEC-CUSTOMER-FEEDBACK/bec-feedback-form.html?branch=WATIYA
